Kod;Nazwa;Grupa;Jednostka;Ce.zak.netto;Ce.sprz.brutto;VAT;Ilość
3164;PIEROŻKI WIGILIJNE Z GRZYBAMI;MROŻONKI;kg;14,07;19,99;5;1,19
1454;SZYNKA MYSZKA;MIĘSO I WĘDLINY;kg;24,11;29,99;5;1,76
1463;PODGARDLE ŚWIEŻE ROGOWO;MIĘSO I WĘDLINY;kg;13,92;16,99;5;0,905
7476;ZAPALNICZKA ELECTRONIC;chemia ogólna;szt.;4;4,99;23;-8
1472;SZYNKA BORYNY ROGOWO;MIĘSO I WĘDLINY;kg;31,46;42,99;5;0,489
2775;EURO PAPIER MAŁY;CUKIERKI/WAFLE/CIASTKA;szt.;0,15;0,5;23;208
1571;SCHAB BORYNY ROGOWO;MIĘSO I WĘDLINY;kg;30,48;39,99;5;-0,516
1142;JBB KIEŁBASA ŚLĄSKA;MIĘSO I WĘDLINY;kg;22,99;26,99;5;0,386
90;KIWI SZTUKA;WARZYWA I OWOCE;szt.;1;1,5;5;6
1164;SZYNKA DELIKATNA Z FILETA SW;MIĘSO I WĘDLINY;kg;26,49;33,99;5;0,107
2499;CUKIERKI JOGUSIE LUZ;CUKIERKI/WAFLE/CIASTKA;kg;16,04;29,99;23;0,055
2505;CUKIERKI ZOZOLE LUZ;CUKIERKI/WAFLE/CIASTKA;kg;15,99;24,99;23;0,852
1121;KIEŁBASA TORUŃSKA;MIĘSO I WĘDLINY;kg;29,13;37,5;5;0,106
1375;SZYNKA PIECZONA Z KOMINA CZERNIEJEWO;MIĘSO I WĘDLINY;kg;28;37,99;5;2,154
103;TRANSPORTER LECH;ogólna;szt.;6,5;8;23;103
4528;SER SALAMI MLEKPOL;MIĘSO I WĘDLINY;kg;19,59;29,99;5;1,806
1371;CIASTKA MAŚLANE KRUCHE;TOMEX;kg;10;19,99;5;-1,33
1220;BOCZEK PARZONY/WĘDZONY PASKI;MIĘSO I WĘDLINY;kg;26,98;35,99;5;0,065
104;BUTELKA  0,5L;ogólna;szt.;1,6;0,8;23;-17
119;ZIEMNIAKI;WARZYWA I OWOCE;kg;2;2,99;5;7
2970;CUKIERKI BIM BOM NADZIEWANE;CUKIERKI/WAFLE/CIASTKA;kg;11,99;18,99;23;-0,005
2997;SMALEC POPULARNY ZE SKWARKAMI ROGOWO;MIĘSO I WĘDLINY;szt.;6,08;7,99;5;1
1695;SZYNKA KONSERWOWA MADEJ;MIĘSO I WĘDLINY;kg;20,98;27,5;5;0,309
1844;KIEŁBASA KRUCHA MORAWSCY;MIĘSO I WĘDLINY;kg;30,96;39,99;5;0,123
1845;SZYNKOWA EXTRA ALEKSANDRIA;MIĘSO I WĘDLINY;kg;23,59;30,99;5;0,386
2842;CUKIERKI SZKLANKA MLEKA LUZ;CUKIERKI/WAFLE/CIASTKA;kg;14,75;19,99;5;2,5
1665;ŚLĄSKA BIEGUN DELIKATESOWA Z CZOSKIEM;MIĘSO I WĘDLINY;kg;28,99;36,25;5;-0,08
1634;WIEPRZOWINA PIECZONA BIEGUN;MIĘSO I WĘDLINY;kg;43,46;58,5;5;-0,278
1918;CATERING SANDWICH MIX;CATERING;szt.;5,5;7,5;5;1
2905;CUKIERKI KRÓWKA MIX;CUKIERKI/WAFLE/CIASTKA;kg;12,99;22,99;23;-0,035
2873;CIASTKA BAMBINO LIDER;CUKIERKI/WAFLE/CIASTKA;kg;19,29;25,99;5;0,08
3502;JBB KRÓLEWSKA DŁUGA;MIĘSO I WĘDLINY;kg;16,99;22,5;5;0,472
5520;SER MOZZARELLA LUZ;MIĘSO I WĘDLINY;kg;21,39;29,99;5;3,132
3729;SZYNKA TRADYCYJNA ZE SPIŻ SW;MIĘSO I WĘDLINY;kg;20;26,99;5;1,882
3873;PAJDA Z MASARSKIEGO STRAGANU;MIĘSO I WĘDLINY;kg;38,77;39,5;5;0,266
