Kod;Nazwa;Grupa;Jednostka;Ce.zak.netto;Ce.sprz.brutto;VAT;Ilość
4781;GULASZ ANGIELSKI;MIĘSO I WĘDLINY;kg;15,99;19,99;5;0,208
4798;ŁOPATKA Z PRZYPRAWAMI;MIĘSO I WĘDLINY;kg;27,4;36,99;5;1,323
410;SER GOUDA;MIĘSO I WĘDLINY;kg;21,99;24,99;5;1,616
245;ANANAS SZT KOSTARYKA;WARZYWA I OWOCE;szt.;11,43;15,99;5;4
244;POR;WARZYWA I OWOCE;kg;5,71;7,99;5;0,98
391;SZYNKA OD SZWAGRA;MIĘSO I WĘDLINY;kg;20,79;30,99;5;-0,67
332;FRANKFURTERKI CZERNIEJEWO;MIĘSO I WĘDLINY;kg;33,4;43,99;5;0,44
363;SZYNKA Z KURCZAKIEM MW;MIĘSO I WĘDLINY;kg;20,98;27,5;5;-3,915
365;JBB TYROLSKA;MIĘSO I WĘDLINY;kg;18,29;24,99;5;0,556
349;KOŚCI WĘDZONE CZER;MIĘSO I WĘDLINY;kg;12,2;16,45;5;4,987
8693;SMALEC LUZ;Dibal;kg;14,21;19,5;5;1,274
8546;POLĘDWICA DROBIOWA ROGOWO;ROGOWO;kg;33,22;41,99;5;1,33
91;BUTELKA 0,5L;ogólna;szt.;0,81;1;23;2870
93;BUTELKA 0,33L;ogólna;szt.;0,73;0,9;23;-33
8076;KOŚCI OD SCHABU/KARKÓWKI ROGOWO;ROGOWO;kg;6,17;8,25;5;0,338
341;GOLONKA Z/K;ROGOWO;kg;13,92;17,99;5;-1,622
343;GOLONKA B/K W SIATCE;ROGOWO;kg;20,38;24,99;5;3,523
344;KARKÓWKA Z/K;ROGOWO;kg;17,05;21,99;5;2,9
345;KARKÓWKA B/K;ROGOWO;kg;22,44;27,99;5;-0,038
346;NOGI WIEPRZOWE;ROGOWO;kg;3,72;4,99;5;-1,8
347;OGONY WIEPRZOWE;ROGOWO;kg;8,72;11,75;5;-0,003
348;BIODRÓWKA WIEPRZOWA;ROGOWO;kg;16,27;19,99;5;-0,074
351;SZYNKA WIEPRZOWA Z/K;ROGOWO;kg;20,29;24,99;5;0,01
335;SŁONINA ŚWIEŻA Z/S;ROGOWO;kg;7,56;5;5;-0,46
354;SZYNKA B/K PEKLOWANA;ROGOWO;kg;26,17;33,99;5;10,879
355;SŁONINA  WĘDZONA;ROGOWO;kg;10,49;14,99;5;-0,497
364;PARÓWKOWA ROGOWO;ROGOWO;kg;22,25;29,99;5;-1,228
367;PARÓWKI DELIKATESOWE ROGOWO;ROGOWO;kg;27,05;36,99;5;0,658
350;ŁOPATKA WIEPRZOWA B/K;ROGOWO;kg;19,99;24,5;5;-1,25
301;NERKI WIEPRZOWE;MIĘSO I WĘDLINY;kg;8,82;11,99;5;-0,154
302;ŻOŁĄDKI WIEPRZOWE;MIĘSO I WĘDLINY;kg;11,27;16,99;5;-0,275
304;MÓZG WIEPRZOWY;MIĘSO I WĘDLINY;kg;4,41;6,99;5;-0,195
305;OZORY WIEPRZOWE;MIĘSO I WĘDLINY;kg;18,13;22,99;5;-0,049
306;WĄTROBA WIEPRZOWA;MIĘSO I WĘDLINY;kg;7,06;9,99;5;-2,18
309;JELITO;MIĘSO I WĘDLINY;mb;1,37;1,99;5;100
336;SŁONINA ŚWIEŻA B/S;ROGOWO;kg;5,88;9,99;5;2,498
319;PORCJA ROSOŁOWA Z KACZKI MROŻONA;MIĘSO I WĘDLINY;kg;3,66;4,8;5;-6
333;SCHAB WIEPRZOWY B/K;ROGOWO;kg;22,44;27,99;5;1,075
334;SCHAB WIEPRZOWY Z/K;ROGOWO;kg;16,56;19,99;5;0,794
370;ŚLĄSKA ROGOWO;ROGOWO;kg;25,87;33,99;5;-0,324
402;MEKSYKAŃSKA ROGOWO;ROGOWO;kg;31,07;42,99;5;0,435
403;TARGOWA ROGOWO;ROGOWO;kg;24,11;32,99;5;0,006
404;KARCZEK WYKWINTNY PRIME;MIĘSO I WĘDLINY;kg;9,6;11,99;5;-0,318
405;KIEŁBASA KRUCHA ROGOWO;ROGOWO;kg;30,38;39,99;5;0,305
406;KIEŁBASA SENATORSKA ROGOWO;ROGOWO;kg;30,67;40,99;5;1,592
408;POLSKA PIECZONA ROGOWO;ROGOWO;kg;32,34;42,99;5;4,302
413;SALCESON TOSCANA ROGOWO;ROGOWO;kg;27,24;35,99;5;0,26
414;SZYNKA Z BECZKI ROGOWO;ROGOWO;kg;32,05;40,99;5;0,712
400;SALCESON BIAŁY ROGOWO;ROGOWO;kg;18,33;24,99;5;0,052
417;SZYNKA BIAŁA PARZONA CZERNIEJEWO;CZERNIEJEWO;kg;31,5;42,99;5;0,803
399;BIAŁA DELIKATESOWA ROGOWO;ROGOWO;kg;31,16;39,99;5;0,148
420;BALERON BUNI SMOL;MIĘSO I WĘDLINY;kg;23,91;29,99;5;-0,12
435;POLĘDWICA ŁOSOSIOWA SW;MIĘSO I WĘDLINY;kg;24,97;32,99;5;0,376
445;KIEŁBASA PĘPOWSKA KRUCHA;MIĘSO I WĘDLINY;kg;19,5;25,6;5;-0,262
415;ŁOWIECKA ROGOWO;ROGOWO;kg;21,66;28,99;5;1,073
384;GŁOWIZNA ROGOWO;ROGOWO;kg;20,38;27,5;5;0,771
47;NEKTARYNKA HISZPANIA;WARZYWA I OWOCE;kg;8;9,99;5;-3,78
371;JAŁOWCOWA ROGOWO;ROGOWO;kg;30,18;38,99;5;0,17
372;POLSKA SUROWA ROGOWO;ROGOWO;kg;31,65;42,99;5;0,073
373;ŚNIADANIOWA ROGOWO;ROGOWO;kg;25,58;34,99;5;0,243
375;ŻYWIECKA ROGOWO;ROGOWO;kg;30,48;38,99;5;0,659
377;METKA BAWARSKA ROGOWO;ROGOWO;kg;24,3;33,99;5;0,96
378;METKA CEBULOWA ROGOWO;ROGOWO;kg;28,13;37,99;5;1,739
379;METKA ŁOSOSIOWA ROGOWO;ROGOWO;kg;19,31;26,5;5;-0,603
380;KIEŁBASA SŁOIKOWA ROGOWO;ROGOWO;kg;24,11;32,99;5;1,649
381;KASZANKA GRUBA ROGOWO;ROGOWO;kg;15,58;21,5;5;-0,595
401;SALCESON CZARNY ROGOWO;ROGOWO;kg;18,33;24,99;5;2,492
383;PASZTETOWA ROGOWO;ROGOWO;kg;17,74;24,99;5;-1,888
369;ZWYCZAJNA ROGOWO;ROGOWO;kg;24,3;32,99;5;-2,544
386;PODGARDLE WĘDZONE ROGOWO;ROGOWO;kg;21,36;27,5;5;-1,231
387;MORTADELA ROGOWO;ROGOWO;kg;17,93;24,5;5;1,323
388;SZYNKA WIEJSKA ROGOWO;ROGOWO;kg;31,65;41,99;5;10,57
389;SZYNKOWA ROGOWO;ROGOWO;kg;28,52;38,99;5;-0,001
392;KIEŁBASA KRAKOWSKA;ROGOWO;kg;32,1;40,99;5;0,472
396;BIWAKOWA ROGOWO;ROGOWO;kg;16,27;21,99;5;-0,439
397;BIAŁA SUROWA ROGOWO;ROGOWO;kg;27,15;35,99;5;1,29
398;BIAŁA PARZONA ROGOWO;ROGOWO;kg;29,01;39,99;5;4,413
382;KASZANKA CIENKA ROGOWO;ROGOWO;kg;16,76;22,99;5;0,002
49;CYTRYNY HISZPANIA;WARZYWA I OWOCE;kg;6,67;9,5;5;3,045
32;KALAFIOR;RÓŻAŃSKI;szt.;7,62;10,99;5;5
16;MARCHEW;RÓŻAŃSKI;kg;4;5,99;5;10,084
17;SELER KRAJOWY;RÓŻAŃSKI;kg;5,24;7,5;5;1,625
18;PIETRUSZKA;RÓŻAŃSKI;kg;11,43;15,99;5;2,138
19;POR;RÓŻAŃSKI;szt.;2,88;3,85;5;-1
20;KAPUSTA BIAŁA KG;WARZYWA I OWOCE;kg;1,81;2,99;5;10,01
22;KAPUSTA KRAJOWA SZT;WARZYWA I OWOCE;szt.;4,29;5,99;5;1
25;KAPUSTA PEKIŃSKA;WARZYWA I OWOCE;kg;5,62;8,5;5;2,15
28;WŁOSZCZYZNA TACKA;RÓŻAŃSKI;szt.;5;6,99;5;4,76
11;ZIEMNIAKI POLSKA;WARZYWA I OWOCE;kg;2;2,99;5;17,905
30;POMIDOR MALINOWY  POLSKA;WARZYWA I OWOCE;kg;6,67;9,99;5;5,354
35;NATKA PIETRUSZKI POLSKA;WARZYWA I OWOCE;szt.;1,43;2,5;5;5
36;KOPEREK PĘCZEK;RÓŻAŃSKI;szt.;2;2,7;5;13
37;SZCZYPIOREK PĘCZEK;RÓŻAŃSKI;szt.;1,43;2,5;5;2,9
38;PIECZARKI;WARZYWA I OWOCE;kg;8,57;12,5;5;2,28
39;OGÓREK MAŁOSOLNY;WARZYWA I OWOCE;kg;14,29;19,99;5;1,973
40;JABŁKA POLSKIE;WARZYWA I OWOCE;kg;3,05;4,99;5;0,7
41;BANAN EKWADOR;WARZYWA I OWOCE;kg;5,43;7,99;5;2,59
42;GRAPEFRUIT;WARZYWA I OWOCE;kg;5,05;7,5;5;1,419
43;POMARAŃCZE HISZPANIA;WARZYWA I OWOCE;kg;4,76;6,99;5;2,506
45;MANDARYNKA HISZPANIA;WARZYWA I OWOCE;kg;6,67;9,5;5;2,095
46;KIWI KG WŁOCHY;WARZYWA I OWOCE;kg;10,95;15,99;5;2,485
29;OGÓREK ŚW.KRAJOWY;WARZYWA I OWOCE;kg;5,71;8,99;5;3,529
13;CEBULA POLSKA;WARZYWA I OWOCE;kg;2,29;3,75;5;2,265
1322;EKLERY Z BUDYNIEM ROGOWO;TOMEX;kg;32,6;45,99;5;-2,094
1309;BUŁKA WROCŁAWSKA 70G;WILS;szt.;0,4;1,2;5;-72
1316;GNIAZDKO PARZONE;PIEKUŚ;szt.;2,1;2,75;5;-4
1317;PĄCZEK;PIEKUŚ;szt.;3,79;5,35;5;-6
1319;BUŁKA SZKOLNA;PIEKUŚ;szt.;0,71;0,99;5;7
1321;CIASTKA ROGOWO;TOMEX;kg;30,99;43,99;5;2,591
1324;CIASTKA KRUCHE Z CUKREM ROGOWO;TOMEX;kg;26,1;34,5;5;3,191
1328;PASZTECIKI ROGOWO;TOMEX;kg;31,7;40,99;5;0,325
5022;MAKRELA WĘDZONA;RYBY PLUS PRZETWORY;kg;22,99;29,99;5;0,39
5026;MATJAS SOLONY;RYBY PLUS PRZETWORY;kg;13,75;17,99;5;-0,8
558;KIEŁBASA ŚLĄSKA MORAWSCY;MIĘSO I WĘDLINY;kg;20,5;26,99;5;-0,21
1834;TRUFLE ODRA;CUKIERKI/WAFLE/CIASTKA;kg;18,99;36,99;23;-0,005
1836;LANDRYNY OWOCOWE EWA;CUKIERKI/WAFLE/CIASTKA;kg;9,17;15,04;23;-0,25
1883;MIESZANKA WEDLOWSKA WEDEL;CUKIERKI/WAFLE/CIASTKA;kg;29,56;48,49;23;0,665
1838;CUKIERKI KAPITAŃSKIE LUZ;CUKIERKI/WAFLE/CIASTKA;kg;17,59;28,99;23;-0,032
473;KIEŁBASA BIESIADNA NIK-POL;MIĘSO I WĘDLINY;kg;17,29;18,99;5;2,42
483;KIEŁBASA SŁOWIAŃSKA LUZ;MIĘSO I WĘDLINY;kg;42,92;55,5;5;0,683
551;KRAKOWSKA SMOL;MIĘSO I WĘDLINY;kg;23,3;29,99;5;0,652
1950;WAFLE CHRUPS NYSA;CUKIERKI/WAFLE/CIASTKA;kg;17,49;25,5;5;0,14
517;KIEŁBASA CYGAŃSKA PIECZONA MORAWSCY;MIĘSO I WĘDLINY;kg;27,51;35,99;5;1,318
531;TYROLSKA SMOL;MIĘSO I WĘDLINY;kg;12,1;15,99;5;0,438
537;KIEŁBASA PODWAWELSKA SMOLIŃSKI;MIĘSO I WĘDLINY;kg;28,22;35,99;5;0,639
1308;PIZZERINKA,HOT-DOG PIASECCY;PIECZYWO CIEPŁE ARMIR;szt.;4,5;5,99;5;12
3037;KLUSKI ŚLĄSKIE ROKA;ROKA;kg;6,4;8,99;5;3,29
3038;KOPYTKA ROKA;ROKA;kg;6,42;9,5;5;4,593
3039;USZKA Z KAPUSTĄ I GRZYBAMI ROKA;ROKA;kg;15,5;21,99;5;1,856
3044;FILET Z MINTAJA;MROŻONKI;kg;9,99;13,5;5;1,54
1306;CIASTKO FRANCUSKIE Z TRUSKAWKAMI;PIECZYWO CIEPŁE ARMIR;szt.;3,99;5,5;5;-8
4067;SER CZARNOLESKI ROLMLECZ;MIĘSO I WĘDLINY;kg;18,8;24,99;5;8,285
4068;SER BYDGOSKI MLEKPOL;MIĘSO I WĘDLINY;kg;21,99;25,5;5;23,375
4076;SER KRÓLEWIECKI;MIĘSO I WĘDLINY;kg;32,99;42,5;5;0,673
4078;SER SALAMI ZAMBROWSKIE;MIĘSO I WĘDLINY;kg;21,99;29,99;5;-0,268
4079;SER EDAM RYCKI RYKI;MIĘSO I WĘDLINY;kg;34,33;45,99;5;2,538
1960;CIASTKA ZWIERZAKI DR GERARD;CUKIERKI/WAFLE/CIASTKA;kg;21,4;31,99;5;-0,005
3036;PYZY Z MIĘSEM ROKA;ROKA;kg;11,35;15,99;5;4,346
6004;KUBECZEK PLASTIKOWY;tekstylia;szt.;0,06;0,5;23;322
3023;PIEROGI Z SEREM ROKA;ROKA;kg;10,86;15,99;5;3,319
3024;PIEROGI Z MIĘSEM ROKA;ROKA;kg;10,48;14,99;5;2,112
3025;PIEROGI Z KAPUSTĄ I GRZYBAMI ROKA;ROKA;kg;8,25;11,99;5;4,04
3026;PIEROGI LENIWE ROKA;ROKA;kg;9,17;12,99;5;5,847
3027;PIEROGI UKRAINSKIE ROKA;ROKA;kg;6,98;8,99;5;6,8
3028;PIEROGI Z TRUSKAWKAMI ROKA;ROKA;kg;9,22;12,99;5;3,736
3029;PIEROGI Z JAGODAMI ROKA;MROŻONKI;kg;10,86;14,99;5;-0,5
3031;PIEROGI SEROWO-TRUSKAWKOWE ROKA;ROKA;kg;7,23;9,99;5;-2,202
