Kod;Nazwa;Nazwa;Nazwa;CenaEw;CenaDet;Stawka;Stan
17848;OGRÓD JABŁOŃ;Ogród;szt;16.6700;25,989984;8;0
17846;OGRÓD PAEONIA - PIWONIA;Ogród;szt;20.5600;32,990004;8;0
17850;OGRÓD ŚLIWA;Ogród;szt;19.4400;29,98998;8;0
17852;OGRÓD NEKTARYNKA;Ogród;szt;24.0700;37,989972;8;0
17854;OGRÓD GRUSZKA;Ogród;szt;18.5200;29,98998;8;0
17856;OGRÓD WIŚNIA;Ogród;szt;18.5200;29,98998;8;0
17860;OGRÓD CZEREŚNIA;Ogród;szt;22.2200;34,989948;8;0
17861;OGRÓD RODODENDRON;Ogród;szt;30.5300;46,990044;8;0
17864;OGRÓD AGREST;Ogród;szt;12.9600;20,990016;8;0
17866;OGRÓD PORZECZKA;Ogród;szt;12.9600;20,990016;8;0
10874;ZAPALNICZKA SZARA SZT;Akcesoria;szt;2.1000;3,099969;23;0
10875;ZAPALNICZKA MAKE YOUR DAY;Akcesoria;szt;0.6000;2,199978;23;0
17609;PUDELKO SKLADANE;Papiernicze 1;szt;0.3900;0,99999;23;0
17960;KOPERTA OZDOBNA MINI;Papiernicze 1;szt;0.3800;0,69003;23;0
17908;ZAPALNICZKA PREZENT;Akcesoria;szt;10.0000;16,98999;23;0
17913;MASECZKA NA TWARZ;Kosmetyki;szt;3.1700;4,99995;23;0
18089;ŁUBIN KWIAT;Ogród;szt;27.7800;39,990024;8;0
18128;ALFA PŁYN NABŁYSZCZAJĄCY DO ZMYWAREK 5L AUTOMATIC;Środki czyszczące, odświeżacze;szt;33.6900;59,990052;23;0
18127;MAGNETIS STOPKI 36-40;Tekstylia;szt;2.4000;4,989987;23;0
18136;MAGNETIS STOPKI Z KORONKĄ;Tekstylia;szt;2.3100;3,989997;23;0
18129;ALF PŁYN DO ZMYWAREK AUTOMATIC AL35 10L;Środki czyszczące, odświeżacze;szt;65.5000;119,989944;23;0
18148;ARIEL KAPSUŁKI DO PRANIA COLOR SZT.;Środki piorące;szt;1.1900;1,990017;23;0
18149;ARIEL KAPSUŁKI DO PRANIA CZERŃ SZT.;Środki piorące;szt;1.1900;1,990017;23;0
18150;ARIEL KAPSUŁKI DO PRANIA BIEL SZT.;Środki piorące;szt;1.1900;1,990017;23;0
18169;BILET NORMALNY 3ZŁ;Kiosk;szt;2.6200;3,000024;8;0
17157;WINO MIX 700ml;Wina;szt;8.0000;12,99003;23;0
12438;NIEZBĘDNIK URODZINOWY PUDEŁKO;Artykuły dekoracyjne;szt;19.3800;39,990006;23;0
461;WIESZAK SAMOPRZYLEPNY;Pozostałe 2;szt;0.6000;0,990027;23;0
9486;BNN OBRUS PCV ŚWIĄTECZNY 90X130  (20);Pozostałe 2;szt;3.4900;3,989997;23;0
11125;ŚWIECZNIK WYSOKI;Pozostałe 2;szt;10.0000;15,99;23;0
11128;WAZON BUTELKA;Pozostałe 2;szt;4.3000;6,880005;23;0
11139;ŚWIECZNIK WYSOKI;Pozostałe 2;szt;10.5000;38,690019;23;0
13194;BOMBKA OP;Pozostałe 2;szt;10.0000;15,99;23;0
13108;RAMKA PRZECENA;Pozostałe 2;szt;0.5000;9,99006;23;0
3505;AGS SŁOJE 0,720L  (8);Pozostałe 2;szt;0.7000;1,15005;23;0
4142;taśma opakowaniowa 48x40 clear akryl (6/36);Pozostałe 2;szt;1.9100;2,990007;23;0
4330;PETARDA LS 10;Pozostałe 2;szt;6.1800;9,890061;23;0
4366;BALON SERCE SZT;Pozostałe 2;szt;0.3400;0,590031;23;0
51572;SED KADZIDEŁKA PODSTAWEK - NARTA (12);Pozostałe 2;szt;1.2100;2,15004;23;0
6061;DEKORACJA ŚWIĄTECZNA WIANEK DUŻY;Pozostałe 2;szt;18.2900;29,989983;23;0
10392;KOSZ WIKLINOWY DK 99D;Pozostałe 2;szt;8.9400;19,98996;23;0
10912;FIGURKA SOWA ŚREDNIA;Pozostałe 2;szt;25.0600;36,990036;23;0
10922;MAGNESY NA LODÓWKĘ SZT;Pozostałe 2;szt;2.3900;5,99994;23;0
10932;ALA-POL BRELOK POMPON;Pozostałe 2;szt;7.3000;12,750057;23;0
10934;ALA-POL SPINKA PERŁA;Pozostałe 2;szt;5.7000;9,949962;23;0
10935;ALA-POL ZAWIESZKA DO KLUCZY;Pozostałe 2;szt;5.7000;9,949962;23;0
10937;ALA-POL OPASKA PLASTIKOWA MIX KOLORÓW;Pozostałe 2;szt;1.9800;3,450027;23;0
10938;ALA-POL PIERŚCIONEK;Pozostałe 2;szt;1.9800;3,450027;23;0
10939;ALA-POL GUMKA GROSZKI;Pozostałe 2;szt;1.9800;3,450027;23;0
10940;ALA-POL OPASKA CZARNA;Pozostałe 2;szt;4.0000;6,989967;23;0
10941;ALA-POL GUMKA DO WŁOSÓW KOKARDKA;Pozostałe 2;szt;4.0000;6,989967;23;0
10942;ALA-POL GUMKA Z KULKĄ;Pozostałe 2;szt;2.9000;5,089986;23;0
11012;BAZIE MINI SZT.;Pozostałe 2;szt;2.0000;4,500036;8;0
11015;GAŁĘZIE KOLOROWE SZT.;Pozostałe 2;szt;2.0000;4,999968;8;0
11877;ŚWIECZNIK HT1610069;Pozostałe 2;szt;42.9000;75,95004;23;0
14071;"RAVI WYSPA OKAZJI 3.99ZL	";Pozostałe 2;szt;2.4100;3,989997;23;0
14526;O_Transporter lemoniada 5zł;Pozostałe 2;szt;4.9700;6,989967;23;0
14527;O_POJEMNIK GNIAZDOWY;Pozostałe 2;szt;20.0000;24,6;23;0
14890;TOREBKA ŚWIĄTECZNA MAŁA NIEBIESKA SZT.;Pozostałe 2;szt;0.2300;0,990027;23;0
14892;WORKI ŚWIĄTECZNE SZT.;Pozostałe 2;szt;8.9200;10,99005;23;0
14893;ZEMAR OPASKA  SZT.;Pozostałe 2;szt;2.9000;4,989987;23;0
14900;WIELKANOCNE KURCZAKI MAŁE SZT.;Pozostałe 2;szt;0.6000;1,990017;23;0
14903;WIELK.GNIAZDO PTASIE Z JAJKAMI SZT.;Pozostałe 2;szt;1.0200;2,990007;23;0
15109;ORGANZA 11CM * 1M;Pozostałe 2;szt;0.8000;1,290024;23;0
15110;FIGI CAROLINA PEŁNE;Pozostałe 2;szt;7.3100;11,99004;23;0
15111;LIMONKA SUSZONA;Pozostałe 2;szt;1.5400;2,390013;23;0
15117;RĘKAWICZKI TEKSTYLNE SZT;Pozostałe 2;szt;1.6300;2,590011;23;0
15120;ŚWIECA SERCE SZT.;Pozostałe 2;szt;6.0900;10,99005;23;0
15125;ZŁOTY KRĄŻEK ŚR. 20 SZT;Pozostałe 2;szt;0.8900;1,390023;23;0
15128;PODKOSZULKI DAMSKIE SZT;Pozostałe 2;szt;7.4700;11,99004;23;0
15129;TAŚMA OZDOBNA KOKON SZT;Pozostałe 2;szt;1.2900;1,990017;23;0
15131;ŚWIECA WALEC 4;Pozostałe 2;szt;4.5400;7,989957;23;0
15140;FIGI DAMSKIE X-O12;Pozostałe 2;szt;3.6500;5,989977;23;0
15142;ŚWIECZKI KULKI MIX SZT;Pozostałe 2;szt;1.6200;2,490012;23;0
15144;GUMKA DO WŁOSÓW SZT;Pozostałe 2;szt;0.1500;0,290034;23;0
15156;KOSZYK 2;Pozostałe 2;szt;8.1200;12,99003;23;0
15161;PAMIĄTKA OKOLICZNOŚCIOWA SZT;Pozostałe 2;szt;9.9900;19,98996;23;0
15990;KOSZT KAJET PÓŁKA BIUROWA PLASTIKOWA;Pozostałe 2;szt;7.3167;12,790032;23;0
16000;KOSZT ELTROX SEJF AX SAMSON;Pozostałe 2;szt;129.2600;225,789993;23;0
16363;CIĘŻAREK OŁOWIANY MAŁY;Pozostałe 2;szt;2.5000;4,189995;23;0
16723;KOSZT GIRLANDA ZIELONA 280CM;Pozostałe 2;szt;41.9500;73,290042;23;0
16725;KOSZT GIRLANDA CHOINKOWA ŚWIĄTECZNA 280CM DELUX;Pozostałe 2;szt;44.8000;78,050019;23;0
1312;AGS FI 100 A'1000 ZAKRĘTKA;Akcesoria kuchenne;szt;0.7270;1,290024;23;0
11410;TACA PLAST. PROST.;Akcesoria kuchenne;szt;13.5000;24,950058;23;0
15033;ZAKRĘTKA FI66 OP 10SZT;Akcesoria kuchenne;szt;3.4000;5,989977;23;0
17436;ALSA SURÓWKA MEKSYKAŃSKA Z BIAŁEJ KAPUSTY 300G;Surówki;szt;3.0000;4,59;8;0
2848;GWIAZDA BETLEJEMSKA SZT.;Kwiaty.;szt;12.9633;15,990048;8;0
12753;LIZAK CHUPA SMOTH&CREAMY 12g;Lizaki;szt;0.6200;0,990027;23;0
17879;MEDICALINE LIZAK MIX 6,2G;Lizaki;szt;0.9100;1,590021;23;0
14538;LIZAK KULISTY TRUSKAWKA 10G;Lizaki;szt;0.2800;0,450057;23;0
16607;KWIECIŃSKI PIEKARNIA GORĄCA CZEKOLADA DUŻA PREMIUM 200ML;Czekolady;szt;0.0000;14,999973;23;0
16610;KWIECIŃSKI PIEKARNIA GORĄCA CZEKOLADA MAŁA 180ML;Czekolady;szt;0.0000;10,000023;23;0
18189;ART SPOŻYWCZE 8%;BON;szt;1.0000;0,990036;8;0
18190;ART SPOŻYWCZE 5%;BON;szt;1.0000;0,990045;5;0
18188;ART SPOŻYWCZE 23%;BON;szt;1.0000;0,990027;23;0
10666;VOBRO CUKIERKI MIX LUZ;Bomboniery;kg;12.5027;21,98994;23;0
12754;ŻELKI BARWIĄCE WĘŻE 9G;Żelki;szt;0.7400;1,290024;23;0
420;KOKOSANKA PAPIESKIE KREMÓWKI SZT.;Wyroby cukiernicze;szt;1.7000;2,39004;8;0
1646;KOKOSANKA PIANKA TRUSKAWKOWA KG;Wyroby cukiernicze;kg;12.0000;16,99002;8;0
2658;MARIOLLI PĄCZEK SZT.;Wyroby cukiernicze;szt;1.0200;1,35;8;0
2740;MARIOLLI BABKA CIEMNA KG.;Wyroby cukiernicze;kg;6.4900;8,990028;8;0
1678;MIZAR BABKA KORZENNA 250G.;Wyroby cukiernicze;szt;3.5000;4,790016;8;0
1703;JAGÓDKA BABKA W POLEWIE KG.;Wyroby cukiernicze;kg;24.2900;32,990004;8;0
01;DROŻDŻE PIEKARSKIE PRASOWANE STANTARD 500G;Wyroby cukiernicze;szt;2.9900;4,750014;23;0
14642;MIK-MAR OPŁATEK NA TORT SZT.;Wyroby cukiernicze;szt;8.9400;10,99005;23;0
16336;JAGÓDKA ZDJĘCIE OPŁATKOWE NA TORT SZT.;Wyroby cukiernicze;szt;25.0000;31,489968;23;0
14099;"NAPOJ FANTA	";Gazowane;szt;3.8900;4,880025;23;0
15739;LEMONIADA 250ML;Gazowane;szt;1.5000;4,499955;23;0
17788;RHD SYROP Z LIŚCI MIĘTY 100% NATURY 500ML;Syropy;szt;26.0100;37,159992;8;0
17790;RHD SYROP Z KWIATU CZARNEGO BZU 100% NATURY 500ML;Syropy;szt;26.0100;37,989972;8;0
17889;RHD SYROP Z ARONII 100% NATURALNY 500ML;Syropy;szt;26.0100;37,989972;8;0
17890;RHD SYROP TRUSKAWKOWY 100% NATUALNY  500ML ZAKUP;Syropy;szt;26.0100;37,989972;8;0
17891;RHD SYROP Z CZARNEJ PORZECZKI 100% NATURALNY;Syropy;szt;26.0100;37,989972;8;0
17907;RHD SYROP WIŚNIOWY 100% NATURALNY 500ML;Syropy;szt;26.0100;37,989972;8;0
145;PRZECENA NABIAŁ SZT 9;Nabiał przecena;szt;0.0000;0;8;0
148;PRZECENA NABIAŁ SZT 12;Nabiał przecena;szt;0.0000;0;23;0
1620;PRZECENA NABIAŁ SZT 13;Nabiał przecena;szt;0.4500;2,98998;8;0
15619;KAWA LATTE;Kawy;szt;2.5000;11,000013;23;0
15620;KAWA FLAT WHITE;Kawy;szt;3.5000;12,000003;23;0
15621;KAWA AMERICANO;Kawy;szt;1.5000;9,500028;23;0
15622;KAWA AMERICANO;Kawy;szt;3.5000;12,000003;23;0
15623;KAWA CAPPUCCINO MAŁA;Kawy;szt;2.5000;10,000023;23;0
15624;KAWA ESPRESSO;Kawy;szt;1.0000;8,000043;23;0
15625;HERBATA CZARNA;Herbaty;szt;1.0000;6,500058;23;0
15627;HERBATA;Herbaty;szt;1.0000;5,99994;23;0
15628;HERBATA OWOCOWA;Herbaty;szt;1.0000;7,000053;23;0
15629;KAWA MROŻONA SODA;Kawy;szt;3.5000;12,999993;23;0
15630;KAWA MROŻONA WELCOME WIETNAM;Kawy;szt;3.0000;12,000003;23;0
15631;KAWA MROŻONA MARAKUJA;Kawy;szt;3.0000;12,999993;23;0
15632;KAWA MROŻONA KOKOS;Kawy;szt;5.0000;14,999973;23;0
15633;KAWA MROŻONA Z LODAMI;Kawy;szt;5.0000;14,999973;23;0
15634;KAWA MROŻONA ESPRESSO TONIK;Kawy;szt;3.5000;12,000003;23;0
15642;KAWA MROŻONA FRAPPE;Kawy;szt;3.5000;12,000003;23;0
15643;KAWA MROŻONA ICED LATTE;Kawy;szt;3.5000;12,000003;23;0
15644;KAWA MROŻONA STRAWBERRY LATTE;Kawy;szt;4.5000;13,999983;23;0
15646;KAWA MROŻONA SWEET AND SALTY;Kawy;szt;4.5000;13,999983;23;0
